Item,unit,,type,category,Rank
PT,each,1800,Private,Laboratory,
T3,each,9000,Private,Laboratory,
T4,each,9000,Private,Laboratory,
PSA,each,9000,Private,Laboratory,
SDCheck/25,each,1800,Private,Laboratory,
Field Stain A,each,840,Private,Laboratory,
Field,each,840,Private,Laboratory,
FBC RGTS,each,3360,Private,Laboratory,
Cefixime 200mg,each,210,Private,Pharmacy,
Dihydroartemisinin/ Piperamine 40/320mg,each,350,Private,Pharmacy,
Glycerine suppository,each,210,Private,Pharmacy,
Hilderm-CH,each,1200,Private,Pharmacy,
Dynapar spray,each,6300,Private,Pharmacy,
Vagid cl,each,2250,Private,Pharmacy,
Tripple Action,each,1200,Private,Pharmacy,
"Bandage, WOW 10cm x 4m ",each,300,Private,Pharmacy,
Crepe bandages,each,500,Private,Pharmacy,
"Cotton wool, 500g",each,2500,Private,Pharmacy,
 paraffin gauze 9.5cm x 9.5cm (square),each,1500,Private,Pharmacy,
Gauze roll,each,7000,Private,Pharmacy,
Gauze square,each,2000,Private,Pharmacy,
 Plaster of paris (POP) 7.5*270 cm,each,2000,Private,Pharmacy,
"Bandage,plaster of paris  10.0*270cm",each,2000,Private,Pharmacy,
"Bandage,plaster of paris 15.0*270cm",each,3200,Private,Pharmacy,
Bandage plaster of paris 20.0*270cm,each,3200,Private,Pharmacy,
"Plaster, zinc oxide 7.5cm",each,850,Private,Pharmacy,
Catgut chromic 1  needle round bodied ½c 50mm,each,13000,Private,Pharmacy,
Catgut chromic 2 needle round bodied 1/2c 50mm,each,13000,Private,Pharmacy,
Catgut chromic  2/0 needle round bodied 1/2c 35mm ,each,13000,Private,Pharmacy,
Catgut chromic 3/0 needle round bodied 1/2c25mm,each,13000,Private,Pharmacy,
Catgut chromic 4/0 needle round bodied 1/2c20mm,each,13000,Private,Pharmacy,
Catgut chromic 5/0 needle round bodied 1/2c 20mm,each,13000,Private,Pharmacy,
Nylon monofilament 1,each,13000,Private,Pharmacy,
Nylon monofilament -2/0,each,13000,Private,Pharmacy,
Nylon monofilament 2,each,13000,Private,Pharmacy,
"Vicryl coated 1 on rev cut needle, ",each,13000,Private,Pharmacy,
Vicry2  ,each,13000,Private,Pharmacy,
Vicryl 3/0   V 393-H absorbable,each,13000,Private,Pharmacy,
Vicryl 2-0 absorbable,each,13000,Private,Pharmacy,
 Braided non absorbable sterile Silk 2/0 cc 40mm,each,13000,Private,Pharmacy,
Autoclave tape 5cm (Brown),each,5000,Private,Pharmacy,
"Bags urine drainage 2,000ml",each,500,Private,Pharmacy,
Cannula iv (Venflon) 14,each,180,Private,Pharmacy,
Cannula iv (Venflon) 16,each,200,Private,Pharmacy,
Cannula iv (Venflon) 18,each,200,Private,Pharmacy,
Cannula iv (Venflon) 20,each,200,Private,Pharmacy,
Cannula iv (Venflon) 22,each,200,Private,Pharmacy,
Cannula iv (Venflon) 24,each,200,Private,Pharmacy,
Catheter Foley's retention 3-5cc  FG 8,each,350,Private,Pharmacy,
Catheter Foley's retention 30cc FG 10,each,350,Private,Pharmacy,
Catheter Foley`s retention 30cc FG 12,each,350,Private,Pharmacy,
Catheter Foley's retention 30cc FG14,each,350,Private,Pharmacy,
Catheter Foley's FG 16,each,350,Private,Pharmacy,
Catheter Foley's FG 18 ,each,350,Private,Pharmacy,
Catheter Foley's FG 20,each,350,Private,Pharmacy,
Catheter foley's 3-way FG  20,each,350,Private,Pharmacy,
Catheter Foley's 3-way FG 22,each,350,Private,Pharmacy,
"Clips, umbilical cord, polythene",each,30,Private,Pharmacy,
Transfusion set blood administration ,each,200,Private,Pharmacy,
Disposable gloves medium,each,150,Private,Pharmacy,
Disposable gloves large,each,150,Private,Pharmacy,
Endotracheal tubes 6mm,each,75,Private,Pharmacy,
Endotracheal tubes 6.5mm,each,75,Private,Pharmacy,
Endotracheal tubes 7mm,each,75,Private,Pharmacy,
Endotracheal tubes 7.5mm,each,75,Private,Pharmacy,
Endotracheal tubes 8mm,each,75,Private,Pharmacy,
Giving set iv administration ,each,200,Private,Pharmacy,
Glove surgeon`s size 7.5 sterile,each,200,Private,Pharmacy,
Glove surgeon`s size 7 sterile,each,200,Private,Pharmacy,
glucose test strip,each,520,Private,Pharmacy,
Mask face disposable paper 2-ply,each,850,Private,Pharmacy,
Spinal needles G22 ,each,350,Private,Pharmacy,
Spinal needles G20,each,350,Private,Pharmacy,
Scalpel blade size 6,each,45,Private,Pharmacy,
Scalpel blade size 11,each,45,Private,Pharmacy,
Scalpel blade size 15,each,45,Private,Pharmacy,
Scalpel blade size 21,each,45,Private,Pharmacy,
Scalpel blade size 20,each,45,Private,Pharmacy,
Scapel blade size 22,each,45,Private,Pharmacy,
Scapel blade sze 23,each,45,Private,Pharmacy,
Scapel blade size 24,each,45,Private,Pharmacy,
Syringe insulin 100 IU with needle ,each,200,Private,Pharmacy,
"Syringes 2ml,disposable",each,75,Private,Pharmacy,
"Syringe, 20ml, disposable",each,250,Private,Pharmacy,
"Syringe,5ml, disposable",each,75,Private,Pharmacy,
"Syringe, 10ml",each,120,Private,Pharmacy,
"Tube, feeding CH 6",each,250,Private,Pharmacy,
"Tube, feeding CH 14",each,250,Private,Pharmacy,
"Tube, feeding CH 12",each,250,Private,Pharmacy,
"Tube, feeding CH 8",each,250,Private,Pharmacy,
Tube feeding CH 16,each,250,Private,Pharmacy,
Pill bags,each,11,Private,Pharmacy,
"Apron, disposable, polythene",each,75,Private,Pharmacy,
Others USS,each,3750,Private,Pharmacy,
first prenatal visit,each,13650,Private,Maternity,
each subsequent prenatal visit,each,10140,Private,Maternity,
external cephalic version,each,10140,Private,Maternity,
amniocentesis,each,74360,Private,Maternity,
shirodkar suture ( cervix),each,35490,Private,Maternity,
removal of shirodkar suture,each,18590,Private,Maternity,
Induction with Cytotec/ pitocin,each,6760,Private,Maternity,
Delivery by general practioner,each,35490,Private,Maternity,
delivery by specialist pediatrician ,each,43940,Private,Maternity,
SVD by Midwife,each,33800,Private,Maternity,
assisted breech,each,27040,Private,Maternity,
breech extraction,each,30420,Private,Maternity,
distraction delivery,each,33800,Private,Maternity,
vacuum extraction,each,45500,Private,Maternity,
examination under anasthesia,each,35490,Private,Maternity,
caesarian section ( elective),each,74360,Private,Maternity,
caesarian section ( emergency),each,84500,Private,Maternity,
MANUAL REMOVAL OF PLACENTA (midwife),each,17940,Private,Maternity,
MANUAL REMOVAL OF PLACENTA (Clinician),each,21970,Private,Maternity,
MANUAL REMOVAL OF PLACENTA (theater),each,26000,Private,Maternity,
repair of third degree tear,each,27040,Private,Maternity,
repair of ruptured uterus,each,87880,Private,Maternity,
hysterectomy following ruptured uterus,each,103090,Private,Surgery,
removal of tag or plyp,each,21970,Private,Surgery,
removal of superficial benign lesion,each,21970,Private,Surgery,
removal of malignant lesion,each,35490,Private,Surgery,
excision of inclusion cyst,each,38090,Private,Surgery,
separation of fused labia,each,41405,Private,Surgery,
drainage of haematocolpos,each,45500,Private,Surgery,
abscess marsupialization,each,38090,Private,Surgery,
gland excision,each,41405,Private,Surgery,
radical excision for malignancy,each,58370,Private,Surgery,
first lesion,each,15210,Private,Surgery,
limited repeat,each,11830,Private,Surgery,
wide spread,each,29640,Private,Surgery,
Excision of associated cyst or tumour,each,41405,Private,Surgery,
drainage of asssociated abscess,each,41405,Private,Surgery,
reconstruction of resulunt vaginal atresia,each,58305,Private,Surgery,
Colpotomy diagnostic,each,15210,Private,Surgery,
Colpotomy therapeutic,each,29640,Private,Surgery,
vaginal hysterectomy,each,87880,Private,Surgery,
Vaginal Hysterectomy+salpingo oophorectomy,each,102310,Private,Surgery,
vaginal hysterectomy+ repair for total prolapse,each,118300,Private,Surgery,
repair of recurrent entercele or vault prolapse,each,118300,Private,Surgery,
other operations for prolapse,each,87880,Private,Surgery,
repair of Urethro vaginal fistula,each,102310,Private,Surgery,
vaginal repair of VVF,each,87880,Private,Surgery,
repair of RVF,each,93860,Private,Surgery,
repair of vaginal laceration following trauma,each,73580,Private,Surgery,
perineoplasty,each,118300,Private,Surgery,
EUA of cervix,each,35490,Private,Surgery,
Shrodkar Suture on cervix,each,13000,Private,Surgery,
Repair of third degree tear of cervix,each,13000,Private,Surgery,
punch biopsy,each,15210,Private,Surgery,
wedge biopsy cervix,each,21190,Private,Surgery,
cone biopsy,each,55770,Private,Surgery,
amputation cervix,each,73580,Private,Surgery,
D and C,each,43940,Private,Surgery,
D and C plus biopsy,each,38090,Private,Surgery,
EVA + D and C + biopsy,each,43940,Private,Surgery,
ERPOC following incomplete non criminal abortion,each,35490,Private,Surgery,
Evacuation of hydatiform mole,each,43940,Private,Surgery,
drainage of pelvic abscess,each,58370,Private,Surgery,
salpingectomy,each,73580,Private,Surgery,
ectopic pregnancy,each,73580,Private,Surgery,
total abdominal hysterectomy,each,87880,Private,Surgery,
TAH and BSO,each,102310,Private,Surgery,
ovarian tumour,each,102310,Private,Surgery,
warthein operation,each,118300,Private,Surgery,
tubal surgery,each,73580,Private,Surgery,
myomectomy,each,87880,Private,Surgery,
ecxcision of thyroglostal cyst,each,73580,Private,Surgery,
nodulectomy,each,103090,Private,Surgery,
isthmusectomy,each,108160,Private,Surgery,
hemi-thyroidectomy/ lobectomy,each,111540,Private,Surgery,
subtotal,each,118300,Private,Surgery,
thyroidectomy total,each,122590,Private,Surgery,
exploration and removal of adenoma,each,158860,Private,Surgery,
unilateral exploration,each,160550,Private,Surgery,
bilateral exploration,each,174980,Private,Surgery,
keratometry,each,11830,Private,Surgery,
A/scanning,each,11830,Private,Surgery,
retinoscopy+ subjective refraction,each,11830,Private,Surgery,
Visual field testing,each,11830,Private,Surgery,
EUA,each,17810,Private,Surgery,
minor ofice procedures,each,23660,Private,Surgery,
Lid laceration repair,each,15210,Private,Surgery,
Lid reconstruction,each,29640,Private,Surgery,
chalazion incision and curettage,each,37180,Private,Surgery,
Tumour excision,each,43940,Private,Surgery,
trichiasis repair (MMG),each,37180,Private,Surgery,
ectropion correction,each,41470,Private,Surgery,
pitosis correction (unilateral),each,41470,Private,Surgery,
pitosis correction (bilateral),each,53300,Private,Surgery,
Lid abscess ( I and D),each,35100,Private,Surgery,
Biopsy,each,35100,Private,Surgery,
corneal foreign body removal (single),each,35100,Private,Surgery,
corneal foreign body removal (multiple),each,54080,Private,Surgery,
repair of conjuctival receration,each,55900,Private,Surgery,
conjuctival foreign body removal,each,35100,Private,Surgery,
conjuctival tumour excision,each,73580,Private,Surgery,
pterygium excision,each,58305,Private,Surgery,
LACRIMAL CANALICULI REPAIR,each,47320,Private,Surgery,
excenteration,each,58305,Private,Surgery,
examination of eye under GA,each,29640,Private,Surgery,
treatment of minor penetrating injury,each,32110,Private,Surgery,
treatment of major penetrating injury,each,43940,Private,Surgery,
anterior vitrectomy,each,43940,Private,Surgery,
posterior vitectromy,each,58305,Private,Surgery,
enucleation,each,70200,Private,Surgery,
evisceration,each,87880,Private,Surgery,
mucolece drainage,each,43940,Private,Surgery,
corneal /sceral laceration repair,each,43940,Private,Surgery,
cataract extraction (ECCE),each,64220,Private,Surgery,
cateract extraction + ECCE + IOL iplant,each,70200,Private,Surgery,
Hyphaema washout,each,73580,Private,Surgery,
drainage operation,each,52780,Private,Surgery,
removal of blood from anterior chamber,each,43940,Private,Surgery,
glaucoma surgery (trabeculectomy),each,73580,Private,Surgery,
surgical toilet and suturing of  < cm superficial,each,15210,Private,Surgery,
surgical toilet and suturing superficial laceration,each,23660,Private,Surgery,
surgical toilet and suturing multiple superficial lace,each,35490,Private,Surgery,
suturing of deep laceration with limited muscle damage,each,55770,Private,Surgery,
suturing a deep laceration wt extensive muscle damage,each,58370,Private,Surgery,
debridement of dirty/ septic laceration+ secondary sut,each,73580,Private,Surgery,
needle biopsy,each,23660,Private,Surgery,
excision of ingrowing nail,each,23660,Private,Surgery,
incisional biopsy of soft growing tissue tumour ,each,29640,Private,Surgery,
excision of benign tumour,each,35490,Private,Surgery,
Excision of malignant soft tissue tumour,each,43940,Private,Surgery,
fine needle aspitation,each,21190,Private,Surgery,
Drainage of abscess (I&D),each,29640,Private,Surgery,
Inciscion biopsy,each,29640,Private,Surgery,
excision of benign lesion,each,43940,Private,Surgery,
subareolar cone excision of ducts,each,43940,Private,Surgery,
quadrantectomy + nodal clearance,each,58370,Private,Surgery,
toilet mastectomy,each,73580,Private,Surgery,
simple mastectomy +satelite node biopsy,each,87880,Private,Surgery,
bilateral mastectomy (female),each,116610,Private,Surgery,
Radical mastectomy,each,122590,Private,Surgery,
bilateral mastectomy (male),each,58370,Private,Surgery,
nipple reconstruction,each,43940,Private,Surgery,
Rescuscitation,each,37180,Private,Surgery,
escharotomy,each,29640,Private,Surgery,
tangential excision+ grafting,each,58370,Private,Surgery,
debridement under GA,each,43940,Private,Surgery,
release of contracture,each,58370,Private,Surgery,
excision of marjolin`s ulcer,each,43940,Private,Surgery,
punch graft,each,29640,Private,Surgery,
partial thickness graft,each,58370,Private,Surgery,
full thickness graft,each,87880,Private,Surgery,
rotation flap,each,116610,Private,Surgery,
Split sking graft,each,22880,Private,Surgery,
Fasciocutaneous flap,each,65000,Private,Surgery,
Musculocutaneous flap,each,65000,Private,Surgery,
Other complex flap,each,65000,Private,Surgery,
HUMERUS (SHAFT),each,85800,Private,Surgery,
HUMERUS (SUPRACONDYLAR),each,85800,Private,Surgery,
radious or ulna (closed reduction),each,35490,Private,Surgery,
radious or ulna (open reduction),each,73580,Private,Surgery,
colles fracturwe,each,55770,Private,Surgery,
carpal bones,each,35490,Private,Surgery,
bennets fracture,each,35490,Private,Surgery,
metacarpal (simple),each,35490,Private,Surgery,
Shoulder fracture,each,114140,Private,Surgery,
Monteggia fractures,each,114140,Private,Surgery,
Galleazzi fracture,each,85800,Private,Surgery,
Ulna fracture,each,57200,Private,Surgery,
femur – ORIF,each,64350,Private,Surgery,
Tibia,each,43940,Private,Surgery,
fibula,each,41600,Private,Surgery,
tibia and fibula,each,53300,Private,Surgery,
patella ORIF,each,58370,Private,Surgery,
malleolus of ankle fracture,each,43940,Private,Surgery,
fracture and dislocation of ankle ORIF,each,58370,Private,Surgery,
tarsal bones and os calcis,each,43940,Private,Surgery,
Pelvic fracture,each,227500,Private,Surgery,
Hip fracture,each,227500,Private,Surgery,
Lisfranc fracture,each,171366,Private,Surgery,
Metatarsal/phalangeal fracture,each,57200,Private,Surgery,
manipulation and plaster per foot,each,35490,Private,Surgery,
elongation of achilles tendon (ETA) per foot,each,73580,Private,Surgery,
postero-medical release (PMR) per foot,each,102310,Private,Surgery,
Upper limb,each,65910,Private,Surgery,
lower limb,each,73580,Private,Surgery,
other bones,each,58370,Private,Surgery,
Debridement and POP,each,57200,Private,Surgery,
Debridement and external fixators,each,171366,Private,Surgery,
"Debridement, flap and external fixators",each,228540,Private,Surgery,
Shoulder,each,114270,Private,Surgery,
Elbow,each,114270,Private,Surgery,
Wrist,each,114270,Private,Surgery,
Fingers,each,57200,Private,Surgery,
Hip,each,142805,Private,Surgery,
Knee,each,57200,Private,Surgery,
Patella,each,57200,Private,Surgery,
Ankle,each,171366,Private,Surgery,
Lisfranc injury,each,171366,Private,Surgery,
Toe,each,57200,Private,Surgery,
acuteosteomyelitis drainage,each,29640,Private,Surgery,
chronic osteomyetis sequestrectomy,each,51610,Private,Surgery,
pathological fracture secondary to osteomyetis,each,58370,Private,Surgery,
clavicle arthrotomy,each,15210,Private,Surgery,
shoulder arthrotomy,each,21970,Private,Surgery,
elbow arthrotomy,each,30420,Private,Surgery,
wrist arthrotomy,each,37180,Private,Surgery,
lunate arthrotomy,each,37180,Private,Surgery,
carpo metacarpal,each,43940,Private,Surgery,
carpo-metacarpal-phalangeal or interphalangeal,each,21970,Private,Surgery,
hip arthrotomy,each,43940,Private,Surgery,
knee arthrotomy,each,41470,Private,Surgery,
patella ORIF,each,29640,Private,Surgery,
ankle arthrotomy,each,43940,Private,Surgery,
operation for recirrent dislocation of shoulder,each,58370,Private,Surgery,
operation of reurrent dislocation of any joint,each,73580,Private,Surgery,
ankle,each,43940,Private,Surgery,
knee,each,58370,Private,Surgery,
Rotator cuff,each,114270,Private,Surgery,
Biceps,each,114270,Private,Surgery,
Triceps,each,114270,Private,Surgery,
Flexor tendons (upper limbs,each,57200,Private,Surgery,
Extensor tendons (upper limbs),each,57200,Private,Surgery,
Tenotomy/tenolysis,each,28600,Private,Surgery,
Quadriceps tendon,each,85800,Private,Surgery,
Patella tendon,each,85800,Private,Surgery,
Achilles tendons,each,85800,Private,Surgery,
Flexor/extensor tendon (lower limbs),each,57200,Private,Surgery,
biceps humeri,each,43940,Private,Surgery,
rotator cuff,each,73580,Private,Surgery,
infrapatella/ quadriceps tendon,each,58370,Private,Surgery,
achilles tendon,each,51090,Private,Surgery,
forearm flexor tendons,each,43940,Private,Surgery,
forearms extensor tendons,each,43940,Private,Surgery,
tendon freeing operation,each,58370,Private,Surgery,
carpal tunnel release,each,43940,Private,Surgery,
for-quarter amputation,each,102310,Private,Surgery,
shoulder disarticulation,each,88010,Private,Surgery,
above elbow amputation,each,72800,Private,Surgery,
below elbow amputation,each,57200,Private,Surgery,
finger disaticulation,each,29640,Private,Surgery,
hind quarter amputation,each,116610,Private,Surgery,
hip disaticulation,each,102310,Private,Surgery,
above knee amputation,each,87880,Private,Surgery,
below knee amputation,each,73580,Private,Surgery,
syme amputation,each,58370,Private,Surgery,
transmetatarsal amputation,each,43940,Private,Surgery,
toe disarticulation,each,37180,Private,Surgery,
Through knee amputation,each,85800,Private,Surgery,
Knee scope without procedure,each,114270,Private,Surgery,
Meniscetomy,each,142870,Private,Surgery,
Meniscal repair,each,170300,Private,Surgery,
ACL reconstruction,each,28600,Private,Surgery,
Removal of foreign body,each,142805,Private,Surgery,
Debridement,each,142805,Private,Surgery,
Carpal tunnel syndrome release,each,28600,Private,Surgery,
De deQuervain tenosynovitis for release,each,28600,Private,Surgery,
Bunionectomy,each,28600,Private,Surgery,
Tendon transfer,each,114270,Private,Surgery,
Nerve repair,each,57200,Private,Surgery,
Compartment syndrome for fasciotomy,each,57200,Private,Surgery,
Steroid injection,each,22880,Private,Surgery,
Joint aspiration,each,22880,Private,Surgery,
Excisional biopsy for borne tunours,each,57200,Private,Surgery,
Incisional biopsy for bone turmours,each,28600,Private,Surgery,
Joint biopsy,each,57200,Private,Surgery,
Girdlestone procedure,each,114270,Private,Surgery,
Total hip replacement,each,1141400,Private,Surgery,
Hemiarthroplasty,each,285610,Private,Surgery,
Total knee replacement,each,1142440,Private,Surgery,
examination under anaesthesia,each,21970,Private,Surgery,
biopsy of nasopharynx under GA,each,43940,Private,Surgery,
removal of foreign body,each,37180,Private,Surgery,
removal of nasal polyp,each,43940,Private,Surgery,
sinus drainage,each,58370,Private,Surgery,
tonsillectomy,each,65910,Private,Surgery,
tonsillectomy + adenoidectomy,each,73580,Private,Surgery,
quinsy – drainage,each,43940,Private,Surgery,
retropharyngeal abscess dainage,each,58370,Private,Surgery,
laryngoscopy,each,29510,Private,Surgery,
cricothyroidotomy,each,363350,Private,Surgery,
tracheostomy,each,43940,Private,Surgery,
laryngectomy,each,87880,Private,Surgery,
bronchoscopy,each,37180,Private,Surgery,
bronchoscopy + removal f foreign body,each,43940,Private,Surgery,
bronchial lavage,each,43940,Private,Surgery,
bronchoplasty,each,116610,Private,Surgery,
needle biopsy,each,9360,Private,Surgery,
diagnostic pleuarl tap,each,15210,Private,Surgery,
therapeutictheraupeautic tap,each,21970,Private,Surgery,
under water seal drain,each,29640,Private,Surgery,
pleural decortications,each,102310,Private,Surgery,
drainage of lung abscess,each,58370,Private,Surgery,
repair of lung laceration,each,65910,Private,Surgery,
pulmonary lobectomy,each,73580,Private,Surgery,
pneumonectomy,each,116610,Private,Surgery,
paracentesis of pericardium,each,43940,Private,Surgery,
ECG without effort,each,7670,Private,Surgery,
ECG with and without effort,each,8840,Private,Surgery,
pericardial window,each,43940,Private,Surgery,
escision of cysic hygroma,each,43940,Private,Surgery,
operation for lympho-oedema,each,58370,Private,Surgery,
splenorrhaphy,each,73580,Private,Surgery,
splenectomy,each,87880,Private,Surgery,
FNA lymph node biopsy,each,29640,Private,Surgery,
excison lymph node biopsy,each,37180,Private,Surgery,
bone marow biopsy,each,21970,Private,Surgery,
venous cut down,each,29640,Private,Surgery,
vascular suturing,each,43940,Private,Surgery,
vascular grafting,each,73580,Private,Surgery,
varicose vain stripping,each,87880,Private,Surgery,
local excision of a lip lesion,each,29640,Private,Surgery,
repair of cleft lip (unilateral),each,73580,Private,Surgery,
repair of cleft lip (bilateral),each,87880,Private,Surgery,
cleft palate (secondary),each,102310,Private,Surgery,
cleft palate (primary repair),each,73580,Private,Surgery,
excision of ranula/ intraoral cyst,each,37180,Private,Surgery,
exscision of emeloblastoma,each,87880,Private,Surgery,
ludwigs – anginadrainage,each,43940,Private,Surgery,
exscision of submandibular gland tumour,each,43940,Private,Surgery,
excision of  parotid gland adenoma,each,47320,Private,Surgery,
total parotidectomy,each,52000,Private,Surgery,
drainage of parotid abscess,each,35490,Private,Surgery,
oesophagoscopy,each,35490,Private,Surgery,
oesophagoscopy and removal of foreighn body,each,41470,Private,Surgery,
oesophagoscopy and dilation of stricture,each,43940,Private,Surgery,
oesophangeal intubation for inorperable ca . oesophagus,each,47320,Private,Surgery,
injection of oesophagus varices,each,41470,Private,Surgery,
repair of oesophageal ruptue,each,73580,Private,Surgery,
Achalasia – hellers operation,each,58240,Private,Surgery,
oesophagectomy,each,131820,Private,Surgery,
hiatus and diaphragmatic hernia repair,each,87880,Private,Surgery,
Gastrotomy,each,35490,Private,Surgery,
Sub Total Gastrectomy,each,43940,Private,Surgery,
repair of perforated gastric ulcer,each,52000,Private,Surgery,
vagotomy and gastric drainage procedure,each,58370,Private,Surgery,
gastric devascularisation for oes varices,each,65000,Private,Surgery,
ramsteds operation for congenital pyloric stenosis,each,51610,Private,Surgery,
palliative gastrojejunostomy,each,51610,Private,Surgery,
Total Gastrectomy,each,73580,Private,Surgery,
percutaneous needle biopsy,each,15210,Private,Surgery,
open biopsy via laparatomy,each,37180,Private,Surgery,
repair of post traumatic liver injury,each,52000,Private,Surgery,
drainage of liver abscess/ cyst,each,52000,Private,Surgery,
right lobectomy,each,87880,Private,Surgery,
left lobectomy,each,101400,Private,Surgery,
choleystostomy,each,52000,Private,Surgery,
choleystostomy,each,64220,Private,Surgery,
choleystostomy + choledochotomy,each,70200,Private,Surgery,
cholecysto/ doch-jejunostomy,each,87880,Private,Surgery,
drainage of pancreatic abscess,each,57200,Private,Surgery,
drainage of pancreatic pseudocyst,each,73580,Private,Surgery,
excision of pancreatic adenoma,each,87880,Private,Surgery,
by-pass peration for in operable tumour,each,73580,Private,Surgery,
repair of pancreatic rupture,each,87880,Private,Surgery,
resection of tumour of the tail of pancreas,each,73580,Private,Surgery,
whipples operation,each,116610,Private,Surgery,
atresia,each,43940,Private,Surgery,
perforated duodenal ulcer,each,58370,Private,Surgery,
adhesionlysis,each,58370,Private,Surgery,
meckes diverticulum,each,58370,Private,Surgery,
intususeption,each,65000,Private,Surgery,
olvulus,each,65000,Private,Surgery,
resection and anastomosis of gangreous bowel,each,73580,Private,Surgery,
resection of small bowel tumour,each,73580,Private,Surgery,
mesenteric node biopsy,each,58370,Private,Surgery,
colostomy,each,43940,Private,Surgery,
appendicomy,each,57200,Private,Surgery,
right hemiolectomy,each,73580,Private,Surgery,
left hemocolectomy,each,87880,Private,Surgery,
sigmid vulvus sigmoioscopic decompression,each,43940,Private,Surgery,
sigmoid vulvulus open decoration,each,73580,Private,Surgery,
hartmans operation,each,87880,Private,Surgery,
redundunt signoid colectomy,each,87880,Private,Surgery,
diagnostic peritoneal lavage,each,21970,Private,Surgery,
therapeautic paracentesis,each,23400,Private,Surgery,
explortorylaparatomy,each,67600,Private,Surgery,
repair of burst abdomen,each,43940,Private,Surgery,
drainage of subphrenic abscess,each,54080,Private,Surgery,
drainage of other intraperitoneal abscess,each,55770,Private,Surgery,
transrectal drainage of pelvic abscess,each,47320,Private,Surgery,
inguinal herniorrhaphy,each,37180,Private,Surgery,
inguinal herniotomy,each,30420,Private,Surgery,
fermoral herniorrhaphy,each,43940,Private,Surgery,
fermoral herniotomy,each,41470,Private,Surgery,
repair of strangulated hernia without bowel resection,each,58370,Private,Surgery,
repair of strangulated hernia with bowel resection,each,73580,Private,Surgery,
repair of epigastric hernia,each,41340,Private,Surgery,
repair of umbilical hernia,each,43940,Private,Surgery,
repair of incisional hernia,each,43940,Private,Surgery,
repair of the omphalocele in the new born,each,35490,Private,Surgery,
maximal anal dilation,each,15210,Private,Surgery,
internal sphicteroctomy,each,21970,Private,Surgery,
anoplasty,each,43940,Private,Surgery,
pulldown operaton,each,58240,Private,Surgery,
pull thoughoperation,each,73580,Private,Surgery,
drainage of pararectal abscess,each,17810,Private,Surgery,
fistulectomy,each,21970,Private,Surgery,
Heamorrhoidectomy,each,29640,Private,Surgery,
drainage of thrombosed pile,each,17810,Private,Surgery,
excision of anal skin tag,each,17810,Private,Surgery,
Delormes operation fo rrectal prolapse,each,58240,Private,Surgery,
anal sphicteroplasty for incontinence,each,35490,Private,Surgery,
low anterior resection for rectal tumour,each,73580,Private,Surgery,
abdomino – perineal resection,each,116610,Private,Surgery,
nedle biopsy,each,15210,Private,Surgery,
openbiopsy,each,47320,Private,Surgery,
nephostomy,each,58240,Private,Surgery,
drainage of periphenic absecess,each,50700,Private,Surgery,
pylolithotomy,each,58370,Private,Surgery,
suture of renal laceration,each,64220,Private,Surgery,
partial nephrectomy,each,73580,Private,Surgery,
total nephrectomy,each,87880,Private,Surgery,
ureteroplasty,each,58370,Private,Surgery,
ureterostomy,each,73580,Private,Surgery,
ureteic re-implantation,each,87880,Private,Surgery,
uretero-sigmoidostomy,each,103090,Private,Surgery,
Open ureteric stone extraction,each,59150,Private,Surgery,
Edoscopic extraction of ureteric stone,each,67600,Private,Surgery,
Ureteric diversion to sygmoides,each,101400,Private,Surgery,
Pyeloplasty,each,76050,Private,Surgery,
cystoscopy,each,29640,Private,Surgery,
repair of bladder rupture,each,43940,Private,Surgery,
removal of bladder stone/ foreign body,each,52000,Private,Surgery,
bladder neck wedge resection,each,52000,Private,Surgery,
open biopsy of bladder tumour,each,52000,Private,Surgery,
transurethral resection of bladder tumour,each,58240,Private,Surgery,
cystectomy ( any type),each,87880,Private,Surgery,
Bladder exstrophy repair,each,101400,Private,Surgery,
Bladder substitution,each,92950,Private,Surgery,
Bladder augmentation,each,101400,Private,Surgery,
Bricker procedure,each,101400,Private,Surgery,
Urinary stress incontinency procedures,each,84500,Private,Surgery,
Marshal test for stress urinary incontinency,each,67600,Private,Surgery,
Bbougies (URETHRO DILATION),each,41470,Private,Surgery,
meatoplasty,each,43940,Private,Surgery,
visual direct urethrotomy (VDU),each,51480,Private,Surgery,
urethroplasty,each,87880,Private,Surgery,
Perineal urethrostomy,each,50700,Private,Surgery,
Clitoroplasty,each,33800,Private,Surgery,
needle biopsy,each,23660,Private,Surgery,
open biopsy ,each,43940,Private,Surgery,
trans urethral resection ,each,87620,Private,Surgery,
open prostatectomy,each,73580,Private,Surgery,
circumcision,each,25000,Private,Surgery,
repair of peyronies disease,each,52000,Private,Surgery,
repair of hypasodias,each,64220,Private,Surgery,
partial penectomy,each,73580,Private,Surgery,
total penectomy,each,87880,Private,Surgery,
testicular exploration,each,             ,Private,Surgery,
unilateral orchidectomy,each,58370,Private,Surgery,
subcapsular orchidectomy,each,64220,Private,Surgery,
Priapism(caverno-spongiosum-diversion),each,50700,Private,Surgery,
Communicant hydrocele unilateralan biopsy,each,50700,Private,Surgery,
Intraescrotal varicocelectomy,each,42250,Private,Surgery,
Bilateral orchidopexy,each,67600,Private,Surgery,
Arteriovenous fistual for haemodilysis ,each,33800,Private,Surgery,
